documentType;periodOfReport;rptOwnerCik;rptOwnerName;isDirector;isOfficer;isTenPercentOwner;isOther;issuerCik;issuerName;issuerTradingSymbol;securityTitle;transactionDate;deemedExecutionDate;transactionFormType;transactionCode;transactionTimeliness;transactionShares;transactionPricePerShare;transactionAcquiredDisposedCode;sharesOwnedFollowingTransaction;directOrIndirectOwnership
4;2019-12-30;0001296720;Wolfe Daniel B;1;1;0;0;0000893739;180 DEGREE CAPITAL CORP. /NY/;TURN;Common Stock;2019-12-30;;4;P;;;;A;285373;D;
4;2019-12-30;0001296720;Wolfe Daniel B;1;1;0;0;0000893739;180 DEGREE CAPITAL CORP. /NY/;TURN;Common Stock;2019-12-31;;4;P;;;;A;287113;D;
4;2019-12-31;0001764537;Gillen Sean M.;1;1;0;0;0000001750;AAR CORP;AIR;Common Stock;2019-12-31;;4;F;;;;D;10398;D;
4;2019-12-24;0001027741;STORCH DAVID P;1;1;0;0;0000001750;AAR CORP;AIR;Common Stock;2019-12-24;;4;M;;;;A;552192;D;
4;2019-12-24;0001027741;STORCH DAVID P;1;1;0;0;0000001750;AAR CORP;AIR;Common Stock;2019-12-24;;4;S;;;;D;547399;D;
4;2020-01-01;0001613450;ABP Trust;0;0;1;0;0001159281;FIVE STAR SENIOR LIVING INC.;NASDAQ:FVE;Common Stock;2020-01-01;;4;J;;;;A;172784;D;
4;2019-12-31;0001201260;ABRAHAMSON JAMES R;1;0;0;0;0001734713;BrightView Holdings, Inc.;BV;Common Stock;2019-12-31;;4;A;;;;A;42417;D;
4;2019-12-31;0001566040;Shah Chetan;1;0;0;0;0000882291;AETHLON MEDICAL INC;AEMD;Common Stock;2019-12-31;;4;F;;;;D;23693;D;
4;2019-12-31;0001199102;JOHNSON SABRINA MARTUCCI;1;0;0;0;0000882291;AETHLON MEDICAL INC;AEMD;Common Stock;2019-12-31;;4;F;;;;D;4417;D;
4;2019-12-31;0001745825;Cipriani Guy F.;1;0;0;0;0000882291;AETHLON MEDICAL INC;AEMD;Common Stock;2019-12-31;;4;F;;;;D;3251;D;
